filename,width,height,left_foot,lxmin,lymin,lxmax,lymax,right_foot,rxmin,rymin,rxmax,rymax
2649.jpg,520,520,left_foot,0,0,0,0,right_foot,59,17,243,331
58.jpg,520,520,left_foot,214,232,328,501,right_foot,0,0,0,0
2978.jpg,520,520,left_foot,28,55,232,501,right_foot,277,76,484,501
2438.jpg,520,520,left_foot,0,0,0,0,right_foot,59,141,286,428
1458.jpg,520,520,left_foot,0,0,0,0,right_foot,89,11,268,501
7088.jpg,520,520,left_foot,189,171,245,294,right_foot,245,283,298,388
2710.jpg,520,520,left_foot,68,133,267,501,right_foot,267,155,471,501
115.jpg,520,520,left_foot,196,39,349,461,right_foot,0,0,0,0
147.jpg,520,520,left_foot,262,174,350,407,right_foot,187,191,263,420
176.jpg,520,520,left_foot,206,29,386,424,right_foot,0,0,0,0
219.jpg,520,520,left_foot,183,50,354,467,right_foot,0,0,0,0
207.jpg,520,520,left_foot,0,0,0,0,right_foot,274,101,365,302
3456.jpg,520,520,left_foot,0,0,0,0,right_foot,11,28,217,379
2448.jpg,520,520,left_foot,114,371,215,501,right_foot,330,378,446,501
282.jpg,520,520,left_foot,287,169,368,329,right_foot,166,220,244,381
271.jpg,520,520,left_foot,0,0,0,0,right_foot,257,68,405,501
6032.jpg,520,520,left_foot,191,26,430,452,right_foot,0,0,0,0
244.jpg,520,520,left_foot,0,0,0,0,right_foot,119,52,297,499
339.jpg,520,520,left_foot,102,41,235,501,right_foot,267,44,397,501
359.jpg,520,520,left_foot,142,49,411,501,right_foot,0,0,0,0
381.jpg,520,520,left_foot,0,0,0,0,right_foot,197,11,322,447
3216.jpg,520,520,left_foot,0,0,0,0,right_foot,62,15,252,501
2450.jpg,520,520,left_foot,0,0,0,0,right_foot,162,23,326,433
2570.jpg,520,520,left_foot,368,180,484,501,right_foot,0,0,0,0
428.jpg,520,520,left_foot,122,276,245,501,right_foot,282,277,404,501
461.jpg,520,520,left_foot,0,0,0,0,right_foot,11,46,177,500
479.jpg,520,520,left_foot,0,0,0,0,right_foot,161,40,342,501
489.jpg,520,520,left_foot,0,0,0,0,right_foot,65,177,162,422
517.jpg,520,520,left_foot,0,0,0,0,right_foot,52,40,172,402
1507.jpg,520,520,left_foot,0,0,0,0,right_foot,144,13,276,501
1509.jpg,520,520,left_foot,328,91,425,357,right_foot,0,0,0,0
576.jpg,520,520,left_foot,172,23,372,501,right_foot,0,0,0,0
612.jpg,520,520,left_foot,236,86,359,501,right_foot,0,0,0,0
2810.jpg,520,520,left_foot,157,58,263,358,right_foot,265,60,371,347
663.jpg,520,520,left_foot,0,0,0,0,right_foot,14,52,277,501
1517.jpg,520,520,left_foot,0,0,0,0,right_foot,141,150,262,501
652.jpg,520,520,left_foot,126,11,388,442,right_foot,0,0,0,0
683.jpg,520,520,left_foot,216,142,285,287,right_foot,0,0,0,0
2458.jpg,520,520,left_foot,115,13,256,293,right_foot,266,11,400,300
694.jpg,520,520,left_foot,156,43,305,415,right_foot,311,93,438,466
2711.jpg,520,520,left_foot,38,68,206,445,right_foot,288,11,450,385
742.jpg,520,520,left_foot,17,156,277,279,right_foot,15,269,262,393
763.jpg,520,520,left_foot,0,0,0,0,right_foot,115,29,269,466
709.jpg,520,520,left_foot,161,11,319,501,right_foot,0,0,0,0
2650.jpg,520,520,left_foot,180,66,365,429,right_foot,0,0,0,0
797.jpg,520,520,left_foot,142,308,223,447,right_foot,277,308,360,446
829.jpg,520,520,left_foot,251,69,389,446,right_foot,0,0,0,0
5975.jpg,520,520,left_foot,199,18,459,501,right_foot,0,0,0,0
865.jpg,520,520,left_foot,128,187,228,433,right_foot,251,200,353,436
3217.jpg,520,520,left_foot,243,14,391,442,right_foot,0,0,0,0
886.jpg,520,520,left_foot,0,0,0,0,right_foot,125,173,206,438
2712.jpg,520,520,left_foot,16,45,258,501,right_foot,250,94,483,501
963.jpg,520,520,left_foot,266,42,375,501,right_foot,0,0,0,0
984.jpg,520,520,left_foot,0,0,0,0,right_foot,141,11,354,484
1030.jpg,520,520,left_foot,0,0,0,0,right_foot,134,64,425,486
1041.jpg,520,520,left_foot,0,0,0,0,right_foot,115,11,272,484
1062.jpg,520,520,left_foot,118,114,241,444,right_foot,274,148,375,490
1072.jpg,520,520,left_foot,338,216,501,501,right_foot,0,0,0,0
2476.jpg,520,520,left_foot,93,13,254,501,right_foot,240,11,417,501
1163.jpg,520,520,left_foot,0,0,0,0,right_foot,54,150,209,442
1125.jpg,520,520,left_foot,169,162,297,380,right_foot,0,0,0,0
1098.jpg,520,520,left_foot,0,0,0,0,right_foot,131,79,283,414
1213.jpg,520,520,left_foot,193,11,386,358,right_foot,0,0,0,0
1223.jpg,520,520,left_foot,356,262,497,469,right_foot,135,93,237,307
1244.jpg,520,520,left_foot,183,177,248,375,right_foot,295,176,357,366
1318.jpg,520,520,left_foot,104,81,249,501,right_foot,271,84,419,501
1266.jpg,520,520,left_foot,0,0,0,0,right_foot,106,49,248,437
1277.jpg,520,520,left_foot,14,95,181,494,right_foot,305,96,477,490
1297.jpg,520,520,left_foot,309,103,444,483,right_foot,62,11,202,442
2478.jpg,520,520,left_foot,71,115,199,396,right_foot,298,102,429,387
1375.jpg,520,520,left_foot,0,0,0,0,right_foot,114,77,248,501
1386.jpg,520,520,left_foot,256,11,409,501,right_foot,0,0,0,0
1397.jpg,520,520,left_foot,230,58,378,501,right_foot,0,0,0,0
3218.jpg,520,520,left_foot,0,0,0,0,right_foot,96,16,384,501
1344.jpg,520,520,left_foot,0,0,0,0,right_foot,183,172,273,337
1355.jpg,520,520,left_foot,0,0,0,0,right_foot,92,70,210,501
1365.jpg,520,520,left_foot,199,11,292,401,right_foot,285,11,399,401
