filename,width,height,class,xmin,ymin,xmax,ymax
2649.jpg,520,520,right_foot,59,331,243,17
58.jpg,520,520,left_foot,214,501,328,232
2978.jpg,520,520,left_foot,28,501,232,55
2978.jpg,520,520,right_foot,277,501,484,76
69.jpg,520,520,left_foot,147,337,242,117
69.jpg,520,520,right_foot,252,489,354,274
2438.jpg,520,520,right_foot,59,428,286,141
1458.jpg,520,520,right_foot,89,501,268,11
7088.jpg,520,520,left_foot,189,294,245,171
7088.jpg,520,520,right_foot,245,388,298,283
2710.jpg,520,520,left_foot,68,501,267,133
2710.jpg,520,520,right_foot,267,501,471,155
92.jpg,520,520,left_foot,153,440,225,322
92.jpg,520,520,right_foot,230,430,342,352
136.jpg,520,520,left_foot,92,482,217,302
136.jpg,520,520,right_foot,217,379,389,249
112.jpg,520,520,right_foot,67,346,224,153
115.jpg,520,520,left_foot,196,461,349,39
147.jpg,520,520,left_foot,262,407,350,174
147.jpg,520,520,right_foot,187,420,263,191
82.jpg,520,520,left_foot,105,385,207,263
82.jpg,520,520,right_foot,245,376,338,253
176.jpg,520,520,left_foot,206,424,386,29
219.jpg,520,520,left_foot,183,467,354,50
224.jpg,520,520,left_foot,161,440,223,280
224.jpg,520,520,right_foot,264,310,327,147
186.jpg,520,520,left_foot,105,349,161,209
186.jpg,520,520,right_foot,235,339,289,214
207.jpg,520,520,right_foot,274,302,365,101
166.jpg,520,520,right_foot,174,370,315,202
3456.jpg,520,520,right_foot,11,379,217,28
2448.jpg,520,520,left_foot,114,501,215,371
2448.jpg,520,520,right_foot,330,501,446,378
282.jpg,520,520,left_foot,287,329,368,169
282.jpg,520,520,right_foot,166,381,244,220
271.jpg,520,520,right_foot,257,501,405,68
6032.jpg,520,520,left_foot,191,452,430,26
233.jpg,520,520,left_foot,72,486,198,288
233.jpg,520,520,right_foot,295,380,392,182
244.jpg,520,520,right_foot,119,499,297,52
261.jpg,520,520,right_foot,196,274,387,100
328.jpg,520,520,left_foot,84,297,237,87
339.jpg,520,520,left_foot,102,501,235,41
339.jpg,520,520,right_foot,267,501,397,44
348.jpg,520,520,left_foot,188,458,281,202
359.jpg,520,520,left_foot,142,501,411,49
370.jpg,520,520,left_foot,131,464,390,113
381.jpg,520,520,right_foot,197,447,322,11
3216.jpg,520,520,right_foot,62,501,252,15
2450.jpg,520,520,right_foot,162,433,326,23
407.jpg,520,520,right_foot,242,330,299,216
2570.jpg,520,520,left_foot,368,501,484,180
